O_code,D_code,car_time,bus_time,ship_time,rail_time,air_time,car_cost,bus_cost,ship_cost,rail_cost,air_cost
8,6,262.013,575.3,-,288.8,295.4,7370,8680,-,9930,24120
8,7,194.6226,564.5,-,209.1,-,5230,7830,-,7540,-
8,8,0,-,-,-,-,0,-,-,-,-
8,9,84.6756,413.9,-,154.7,-,1890,3210,-,3850,-
8,10,142.6576,422.9,-,246.8,-,4170,3800,-,8330,-
8,11,113.9948,257.6,-,159.9,-,3160,2470,-,3820,-
8,12,144.1892,290.2,-,176.6,-,2520,2920,-,3310,-
8,13,130.2954,247.2,-,160.5,-,4160,2300,-,4040,-
8,14,140.7978,279,-,171.4,-,4450,2720,-,4260,-
8,15,278.6418,607.2,-,306.1,391.9,7560,7640,-,13630,23210
8,16,407.0774,672.1,-,305.5,325.5,11210,9450,-,16000,29730
8,17,447.7742,744.7,-,343.1,362.1,12460,7420,-,17040,30420
8,18,514.3988,758.3,-,383.6,334.7,14350,8580,-,17500,30370
8,19,247.4628,415,-,271.2,419.2,8080,4300,-,7840,59330
8,20,258.2934,510.5,-,249.8,412.1,7000,5250,-,11160,58870
8,21,456.9638,667.8,-,288.2,378.2,12210,7910,-,14800,26970
8,22,290.6758,454.1,-,224.3,406.1,8640,5010,-,9950,64290
8,23,434.6462,620.4,-,258.8,346.8,13520,7530,-,14460,26540
8,24,488.5804,702.3,-,326.7,414.7,15170,8340,-,16170,28270
8,25,514.2894,659.4,-,301.4,332.4,15880,7750,-,17050,31110
8,26,542.7334,689.7,-,298,330,16060,10390,-,17120,30600
